year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2000,ALABAMA,AL,AUTAUGA,1001.0,US PRESIDENT,AL GORE,DEMOCRAT,4942,17208,20220315,TOTAL
2000,ALABAMA,AL,AUTAUGA,1001.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11993,17208,20220315,TOTAL
2000,ALABAMA,AL,AUTAUGA,1001.0,US PRESIDENT,RALPH NADER,GREEN,160,17208,20220315,TOTAL
2000,ALABAMA,AL,AUTAUGA,1001.0,US PRESIDENT,OTHER,OTHER,113,17208,20220315,TOTAL
2000,ALABAMA,AL,BALDWIN,1003.0,US PRESIDENT,AL GORE,DEMOCRAT,13997,56480,20220315,TOTAL
2000,ALABAMA,AL,BALDWIN,1003.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,40872,56480,20220315,TOTAL
2000,ALABAMA,AL,BALDWIN,1003.0,US PRESIDENT,RALPH NADER,GREEN,1033,56480,20220315,TOTAL
2000,ALABAMA,AL,BALDWIN,1003.0,US PRESIDENT,OTHER,OTHER,578,56480,20220315,TOTAL
2000,ALABAMA,AL,BARBOUR,1005.0,US PRESIDENT,AL GORE,DEMOCRAT,5188,10395,20220315,TOTAL
2000,ALABAMA,AL,BARBOUR,1005.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5096,10395,20220315,TOTAL
2000,ALABAMA,AL,BARBOUR,1005.0,US PRESIDENT,RALPH NADER,GREEN,46,10395,20220315,TOTAL
2000,ALABAMA,AL,BARBOUR,1005.0,US PRESIDENT,OTHER,OTHER,65,10395,20220315,TOTAL
2000,ALABAMA,AL,BIBB,1007.0,US PRESIDENT,AL GORE,DEMOCRAT,2710,7101,20220315,TOTAL
2000,ALABAMA,AL,BIBB,1007.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4273,7101,20220315,TOTAL
2000,ALABAMA,AL,BIBB,1007.0,US PRESIDENT,RALPH NADER,GREEN,52,7101,20220315,TOTAL
2000,ALABAMA,AL,BIBB,1007.0,US PRESIDENT,OTHER,OTHER,66,7101,20220315,TOTAL
2000,ALABAMA,AL,BLOUNT,1009.0,US PRESIDENT,AL GORE,DEMOCRAT,4977,17973,20220315,TOTAL
2000,ALABAMA,AL,BLOUNT,1009.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12667,17973,20220315,TOTAL
2000,ALABAMA,AL,BLOUNT,1009.0,US PRESIDENT,RALPH NADER,GREEN,154,17973,20220315,TOTAL
2000,ALABAMA,AL,BLOUNT,1009.0,US PRESIDENT,OTHER,OTHER,175,17973,20220315,TOTAL
2000,ALABAMA,AL,BULLOCK,1011.0,US PRESIDENT,AL GORE,DEMOCRAT,3395,4904,20220315,TOTAL
2000,ALABAMA,AL,BULLOCK,1011.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1433,4904,20220315,TOTAL
2000,ALABAMA,AL,BULLOCK,1011.0,US PRESIDENT,RALPH NADER,GREEN,24,4904,20220315,TOTAL
2000,ALABAMA,AL,BULLOCK,1011.0,US PRESIDENT,OTHER,OTHER,52,4904,20220315,TOTAL
2000,ALABAMA,AL,BUTLER,1013.0,US PRESIDENT,AL GORE,DEMOCRAT,3606,7803,20220315,TOTAL
2000,ALABAMA,AL,BUTLER,1013.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4127,7803,20220315,TOTAL
2000,ALABAMA,AL,BUTLER,1013.0,US PRESIDENT,RALPH NADER,GREEN,36,7803,20220315,TOTAL
2000,ALABAMA,AL,BUTLER,1013.0,US PRESIDENT,OTHER,OTHER,34,7803,20220315,TOTAL
2000,ALABAMA,AL,CALHOUN,1015.0,US PRESIDENT,AL GORE,DEMOCRAT,15781,38909,20220315,TOTAL
2000,ALABAMA,AL,CALHOUN,1015.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,22306,38909,20220315,TOTAL
2000,ALABAMA,AL,CALHOUN,1015.0,US PRESIDENT,RALPH NADER,GREEN,481,38909,20220315,TOTAL
2000,ALABAMA,AL,CALHOUN,1015.0,US PRESIDENT,OTHER,OTHER,341,38909,20220315,TOTAL
2000,ALABAMA,AL,CHAMBERS,1017.0,US PRESIDENT,AL GORE,DEMOCRAT,5616,11834,20220315,TOTAL
2000,ALABAMA,AL,CHAMBERS,1017.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6037,11834,20220315,TOTAL
2000,ALABAMA,AL,CHAMBERS,1017.0,US PRESIDENT,RALPH NADER,GREEN,95,11834,20220315,TOTAL
2000,ALABAMA,AL,CHAMBERS,1017.0,US PRESIDENT,OTHER,OTHER,86,11834,20220315,TOTAL
2000,ALABAMA,AL,CHEROKEE,1019.0,US PRESIDENT,AL GORE,DEMOCRAT,3497,7823,20220315,TOTAL
2000,ALABAMA,AL,CHEROKEE,1019.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4154,7823,20220315,TOTAL
2000,ALABAMA,AL,CHEROKEE,1019.0,US PRESIDENT,RALPH NADER,GREEN,77,7823,20220315,TOTAL
2000,ALABAMA,AL,CHEROKEE,1019.0,US PRESIDENT,OTHER,OTHER,95,7823,20220315,TOTAL
2000,ALABAMA,AL,CHILTON,1021.0,US PRESIDENT,AL GORE,DEMOCRAT,4806,15092,20220315,TOTAL
2000,ALABAMA,AL,CHILTON,1021.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10066,15092,20220315,TOTAL
2000,ALABAMA,AL,CHILTON,1021.0,US PRESIDENT,RALPH NADER,GREEN,92,15092,20220315,TOTAL
2000,ALABAMA,AL,CHILTON,1021.0,US PRESIDENT,OTHER,OTHER,128,15092,20220315,TOTAL
2000,ALABAMA,AL,CHOCTAW,1023.0,US PRESIDENT,AL GORE,DEMOCRAT,3707,7374,20220315,TOTAL
2000,ALABAMA,AL,CHOCTAW,1023.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3600,7374,20220315,TOTAL
2000,ALABAMA,AL,CHOCTAW,1023.0,US PRESIDENT,RALPH NADER,GREEN,33,7374,20220315,TOTAL
2000,ALABAMA,AL,CHOCTAW,1023.0,US PRESIDENT,OTHER,OTHER,34,7374,20220315,TOTAL
2000,ALABAMA,AL,CLARKE,1025.0,US PRESIDENT,AL GORE,DEMOCRAT,4679,10752,20220315,TOTAL
2000,ALABAMA,AL,CLARKE,1025.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5988,10752,20220315,TOTAL
2000,ALABAMA,AL,CLARKE,1025.0,US PRESIDENT,RALPH NADER,GREEN,33,10752,20220315,TOTAL
2000,ALABAMA,AL,CLARKE,1025.0,US PRESIDENT,OTHER,OTHER,52,10752,20220315,TOTAL
2000,ALABAMA,AL,CLAY,1027.0,US PRESIDENT,AL GORE,DEMOCRAT,2045,5883,20220315,TOTAL
2000,ALABAMA,AL,CLAY,1027.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3719,5883,20220315,TOTAL
2000,ALABAMA,AL,CLAY,1027.0,US PRESIDENT,RALPH NADER,GREEN,52,5883,20220315,TOTAL
2000,ALABAMA,AL,CLAY,1027.0,US PRESIDENT,OTHER,OTHER,67,5883,20220315,TOTAL
2000,ALABAMA,AL,CLEBURNE,1029.0,US PRESIDENT,AL GORE,DEMOCRAT,1664,5092,20220315,TOTAL
2000,ALABAMA,AL,CLEBURNE,1029.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3333,5092,20220315,TOTAL
2000,ALABAMA,AL,CLEBURNE,1029.0,US PRESIDENT,RALPH NADER,GREEN,39,5092,20220315,TOTAL
2000,ALABAMA,AL,CLEBURNE,1029.0,US PRESIDENT,OTHER,OTHER,56,5092,20220315,TOTAL
2000,ALABAMA,AL,COFFEE,1031.0,US PRESIDENT,AL GORE,DEMOCRAT,5220,15434,20220315,TOTAL
2000,ALABAMA,AL,COFFEE,1031.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9938,15434,20220315,TOTAL
2000,ALABAMA,AL,COFFEE,1031.0,US PRESIDENT,RALPH NADER,GREEN,155,15434,20220315,TOTAL
2000,ALABAMA,AL,COFFEE,1031.0,US PRESIDENT,OTHER,OTHER,121,15434,20220315,TOTAL
2000,ALABAMA,AL,COLBERT,1033.0,US PRESIDENT,AL GORE,DEMOCRAT,10543,21532,20220315,TOTAL
2000,ALABAMA,AL,COLBERT,1033.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10518,21532,20220315,TOTAL
2000,ALABAMA,AL,COLBERT,1033.0,US PRESIDENT,RALPH NADER,GREEN,208,21532,20220315,TOTAL
2000,ALABAMA,AL,COLBERT,1033.0,US PRESIDENT,OTHER,OTHER,263,21532,20220315,TOTAL
2000,ALABAMA,AL,CONECUH,1035.0,US PRESIDENT,AL GORE,DEMOCRAT,2783,5551,20220315,TOTAL
2000,ALABAMA,AL,CONECUH,1035.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2699,5551,20220315,TOTAL
2000,ALABAMA,AL,CONECUH,1035.0,US PRESIDENT,RALPH NADER,GREEN,35,5551,20220315,TOTAL
2000,ALABAMA,AL,CONECUH,1035.0,US PRESIDENT,OTHER,OTHER,34,5551,20220315,TOTAL
2000,ALABAMA,AL,COOSA,1037.0,US PRESIDENT,AL GORE,DEMOCRAT,2104,4567,20220315,TOTAL
2000,ALABAMA,AL,COOSA,1037.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2382,4567,20220315,TOTAL
2000,ALABAMA,AL,COOSA,1037.0,US PRESIDENT,RALPH NADER,GREEN,34,4567,20220315,TOTAL
2000,ALABAMA,AL,COOSA,1037.0,US PRESIDENT,OTHER,OTHER,47,4567,20220315,TOTAL
2000,ALABAMA,AL,COVINGTON,1039.0,US PRESIDENT,AL GORE,DEMOCRAT,4440,13613,20220315,TOTAL
2000,ALABAMA,AL,COVINGTON,1039.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8961,13613,20220315,TOTAL
2000,ALABAMA,AL,COVINGTON,1039.0,US PRESIDENT,RALPH NADER,GREEN,123,13613,20220315,TOTAL
2000,ALABAMA,AL,COVINGTON,1039.0,US PRESIDENT,OTHER,OTHER,89,13613,20220315,TOTAL
2000,ALABAMA,AL,CRENSHAW,1041.0,US PRESIDENT,AL GORE,DEMOCRAT,1934,4795,20220315,TOTAL
2000,ALABAMA,AL,CRENSHAW,1041.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2793,4795,20220315,TOTAL
2000,ALABAMA,AL,CRENSHAW,1041.0,US PRESIDENT,RALPH NADER,GREEN,40,4795,20220315,TOTAL
2000,ALABAMA,AL,CRENSHAW,1041.0,US PRESIDENT,OTHER,OTHER,28,4795,20220315,TOTAL
2000,ALABAMA,AL,CULLMAN,1043.0,US PRESIDENT,AL GORE,DEMOCRAT,9758,29525,20220315,TOTAL
2000,ALABAMA,AL,CULLMAN,1043.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,19157,29525,20220315,TOTAL
2000,ALABAMA,AL,CULLMAN,1043.0,US PRESIDENT,RALPH NADER,GREEN,282,29525,20220315,TOTAL
2000,ALABAMA,AL,CULLMAN,1043.0,US PRESIDENT,OTHER,OTHER,328,29525,20220315,TOTAL
2000,ALABAMA,AL,DALE,1045.0,US PRESIDENT,AL GORE,DEMOCRAT,4906,15806,20220315,TOTAL
2000,ALABAMA,AL,DALE,1045.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10593,15806,20220315,TOTAL
2000,ALABAMA,AL,DALE,1045.0,US PRESIDENT,RALPH NADER,GREEN,188,15806,20220315,TOTAL
2000,ALABAMA,AL,DALE,1045.0,US PRESIDENT,OTHER,OTHER,119,15806,20220315,TOTAL
2000,ALABAMA,AL,DALLAS,1047.0,US PRESIDENT,AL GORE,DEMOCRAT,10967,18464,20220315,TOTAL
2000,ALABAMA,AL,DALLAS,1047.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7360,18464,20220315,TOTAL
2000,ALABAMA,AL,DALLAS,1047.0,US PRESIDENT,RALPH NADER,GREEN,63,18464,20220315,TOTAL
2000,ALABAMA,AL,DALLAS,1047.0,US PRESIDENT,OTHER,OTHER,74,18464,20220315,TOTAL
2000,ALABAMA,AL,DEKALB,1049.0,US PRESIDENT,AL GORE,DEMOCRAT,7056,20285,20220315,TOTAL
2000,ALABAMA,AL,DEKALB,1049.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12827,20285,20220315,TOTAL
2000,ALABAMA,AL,DEKALB,1049.0,US PRESIDENT,RALPH NADER,GREEN,175,20285,20220315,TOTAL
2000,ALABAMA,AL,DEKALB,1049.0,US PRESIDENT,OTHER,OTHER,227,20285,20220315,TOTAL
